Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
24.0,255.32,94.0,Quận 1,Nguyễn Cư Trinh,2.0,1,3.5,1.0,0,2025-12-25,2.0
17.5,216.05,81.0,Quận 11,12,3.0,1,5.0,3.5,0,2025-12-25,3.0
95.0,475.0,200.0,Quận 3,12,4.0,1,15.0,5.0,0,2025-12-25,4.0
51.9,253.17,205.0,Quận 3,6,2.0,1,12.0,2.0,0,2025-12-25,2.0
13.5,65.22,207.0,Quận 12,Thạnh Xuân,2.0,1,6.0,2.0,0,2025-12-25,2.0
13.5,89.4,151.0,Thành phố Thủ Đức,Hiệp Bình Chánh,5.0,1,10.0,3.0,0,2025-12-25,5.0
13.5,500.0,27.0,Quận 10,2,3.0,1,3.23,4.0,0,2025-12-25,3.0
400.0,620.16,645.0,Quận 5,12,4.0,1,20.3,5.0,0,2025-12-25,3.0
2.95,52.68,56.0,Thành phố Thủ Đức,Bình Thọ,3.0,1,4.0,3.0,0,2025-12-25,3.0
2.8,70.0,40.0,Quận 8,5,3.0,1,4.0,2.0,0,2025-12-25,3.0
3.69,63.62,58.0,Quận 4,13,3.0,0,4.0,3.0,1,2025-12-25,3.0
4.15,94.32,44.0,Thành phố Thủ Đức,Bình Thọ,3.0,1,4.0,1.0,0,2025-12-25,2.0
13.5,275.51,49.0,Quận 1,Đa Kao,5.0,1,4.4,4.5,0,2025-12-25,5.0
7.0,116.67,60.0,Quận 7,Tân Hưng,4.0,1,5.0,3.0,0,2025-12-25,4.0
1.18,9.83,120.0,Quận 8,1,3.0,1,6.0,1.0,0,2025-12-25,3.0
7.2,171.43,42.0,Quận 3,14,4.0,1,3.5,2.0,0,2025-12-25,4.0
16.9,121.58,139.0,Quận 10,2,6.0,1,8.0,2.0,0,2025-12-25,6.0
23.0,319.44,72.0,Quận 11,3,8.0,0,4.5,6.0,1,2025-12-25,8.0
10.9,247.73,44.0,Quận 10,2,4.0,0,5.0,3.5,1,2025-12-25,4.0
13.9,187.84,74.0,Quận 1,Bến Thành,8.0,0,4.8,4.0,1,2025-12-25,8.0
8.5,170.0,50.0,Quận 5,12,3.0,0,3.3,2.0,1,2025-12-25,3.0
3.2,54.24,59.0,Quận 5,7,2.0,1,4.0,2.0,0,2025-12-25,2.0
4.99,28.19,177.0,Quận 12,Thạnh Lộc,4.0,1,6.0,2.0,0,2025-12-25,4.0
9.8,100.0,98.0,Quận 6,8,12.0,0,5.2,5.0,1,2025-12-25,12.0
23.0,230.0,100.0,Quận 1,Nguyễn Cư Trinh,6.0,0,5.8,5.0,1,2025-12-25,6.0
25.99,204.65,127.0,Quận 10,2,10.0,0,6.0,6.0,1,2025-12-25,10.0
13.8,88.46,156.0,Quận 3,6,3.0,0,10.0,2.0,1,2025-12-25,3.0
8.0,220.39,36.3,Quận 10,2,3.0,1,3.3,4.0,0,2025-12-25,3.0
35.0,165.48,211.5,Thành phố Thủ Đức,Tam Bình,10.0,1,12.1,1.0,0,2025-12-25,10.0
14.0,60.87,230.0,Thành phố Thủ Đức,Hiệp Bình Phước,10.0,1,11.5,1.0,0,2025-12-25,10.0
6.85,42.28,162.0,Thành phố Thủ Đức,Trường Thọ,8.0,0,5.0,1.0,1,2025-12-25,7.0
5.95,141.67,42.0,Quận 10,2,3.0,1,3.0,2.0,0,2025-12-25,3.0
9.89,329.67,30.0,Quận 3,2,4.0,1,3.0,4.5,0,2025-12-25,4.0
9.9,341.38,29.0,Quận 3,2,3.0,1,3.2,4.0,0,2025-12-25,3.0
5.5,152.78,36.0,Quận 3,4,4.0,0,4.0,3.0,1,2025-12-25,4.0
5.0,146.63,34.1,Quận 10,2,2.0,1,3.0,2.0,0,2025-12-25,2.0
8.0,160.0,50.0,Quận 10,2,4.0,0,5.0,2.0,1,2025-12-25,4.0
6.0,150.0,40.0,Quận 6,9,4.0,1,4.0,3.0,0,2025-12-25,4.0
3.45,86.25,40.0,Quận 12,Trung Mỹ Tây,2.0,1,4.0,2.0,0,2025-12-25,2.0
2.68,111.67,24.0,Quận 8,15,1.0,0,2.0,2.0,1,2025-12-25,1.0
9.5,211.11,45.0,Quận 3,12,4.0,1,5.0,5.0,0,2025-12-25,4.0
4.8,100.0,48.0,Quận 5,3,3.0,1,4.0,5.0,0,2025-12-25,3.0
7.05,125.89,56.0,Thành phố Thủ Đức,Hiệp Bình Phước,3.0,1,4.0,3.0,0,2025-12-25,3.0
5.98,249.17,24.0,Quận 5,12,4.0,1,3.0,3.0,0,2025-12-24,4.0
62.0,133.1,465.8,Quận 7,Tân Kiểng,10.0,1,13.29,1.0,0,2025-12-24,10.0
24.0,190.48,126.0,Quận 7,Tân Phong,4.0,1,7.0,4.5,0,2025-12-24,4.0
21.5,134.38,160.0,Quận 7,Phú Thuận,4.0,1,7.8,4.0,0,2025-12-24,4.0
42.5,139.8,304.0,Quận 7,Phú Thuận,8.0,1,10.0,2.0,0,2025-12-24,8.0
38.0,131.49,289.0,Quận 7,Tân Kiểng,27.0,1,10.8,2.0,0,2025-12-24,27.0
38.5,160.42,240.0,Quận 7,Tân Phong,4.0,1,12.0,4.0,0,2025-12-24,4.0
26.5,294.44,90.0,Quận 7,Tân Phong,6.0,1,6.0,3.5,0,2025-12-24,6.0
25.0,125.63,199.0,Quận 7,Tân Thuận Đông,5.0,1,8.0,1.0,0,2025-12-24,5.0
15.0,208.33,72.0,Quận 7,Tân Phong,4.0,1,4.0,3.5,0,2025-12-24,4.0
11.8,176.12,67.0,Quận 7,Tân Kiểng,4.0,1,4.2,3.0,0,2025-12-24,4.0
23.0,102.68,224.0,Quận 7,Bình Thuận,5.0,1,6.0,1.0,0,2025-12-24,5.0
18.0,200.0,90.0,Quận 7,Tân Phong,2.0,1,6.0,3.0,0,2025-12-24,2.0
17.9,87.32,205.0,Quận 7,Phú Thuận,3.0,0,6.0,1.0,1,2025-12-24,3.0
46.0,330.94,139.0,Quận 7,Tân Kiểng,2.0,1,8.3,2.0,0,2025-12-24,2.0
42.0,202.9,207.0,Quận 7,Tân Thuận Đông,51.0,0,8.3,7.0,1,2025-12-24,51.0
24.0,235.29,102.0,Quận 7,Tân Phong,4.0,1,6.0,4.0,0,2025-12-24,4.0
13.0,185.71,70.0,Quận 3,4,6.0,1,6.0,1.0,0,2025-12-24,5.0
17.9,223.75,80.0,Thành phố Thủ Đức,Bình An,4.0,1,5.0,4.0,0,2025-12-24,4.0
24.0,300.0,80.0,Thành phố Thủ Đức,Bình An,6.0,1,4.0,3.5,0,2025-12-24,6.0
18.0,225.0,80.0,Thành phố Thủ Đức,Bình An,4.0,1,4.0,4.0,0,2025-12-24,4.0
24.3,231.43,105.0,Thành phố Thủ Đức,Bình An,5.0,1,5.5,5.0,0,2025-12-24,5.0
8.3,207.5,40.0,Quận 4,4,4.0,1,5.0,5.0,0,2025-12-24,4.0
8.3,207.5,40.0,Quận 4,4,4.0,1,5.0,4.0,0,2025-12-24,4.0
5.0,50.66,98.7,Quận 12,Tân Thới Hiệp,3.0,1,4.7,1.0,0,2025-12-24,3.0
4.68,60.0,78.0,Quận 8,14,3.0,0,6.0,2.0,1,2025-12-24,3.0
3.68,87.62,42.0,Quận 6,5,2.0,1,3.2,2.0,0,2025-12-24,2.0
2.68,46.21,58.0,Quận 12,Thạnh Xuân,4.0,1,4.0,3.5,0,2025-12-24,4.0
3.55,80.68,44.0,Quận 1,Tân Định,4.0,1,4.0,3.0,0,2025-12-24,4.0
6.0,60.0,100.0,Quận 12,Thạnh Lộc,3.0,1,7.0,1.0,0,2025-12-24,3.0
9.5,98.96,96.0,Quận 12,Thới An,14.0,1,4.2,5.0,0,2025-12-24,10.0
89.9,642.14,140.0,Quận 1,Phạm Ngũ Lão,28.0,1,8.0,5.0,0,2025-12-24,10.0
23.3,78.45,297.0,Quận 12,Thới An,5.0,1,6.0,3.5,0,2025-12-24,5.0
6.5,116.07,56.0,Quận 6,3,5.0,1,3.5,3.5,0,2025-12-24,5.0
1.95,24.38,80.0,Quận 12,Thạnh Xuân,3.0,1,4.0,1.0,0,2025-12-24,3.0
6.0,55.56,108.0,Thành phố Thủ Đức,Trường Thọ,4.0,1,6.0,1.0,0,2025-12-24,4.0
8.0,125.0,64.0,Quận 8,9,4.0,1,4.0,3.0,0,2025-12-24,4.0
8.49,81.63,104.0,Quận 12,Hiệp Thành,5.0,1,4.0,3.0,0,2025-12-24,5.0
17.9,66.3,270.0,Thành phố Thủ Đức,Hiệp Bình Phước,2.0,1,6.0,2.0,0,2025-12-24,2.0
22.0,241.76,91.0,Quận 10,2,3.0,1,3.5,2.0,0,2025-12-24,3.0
28.9,352.44,82.0,Quận 10,2,2.0,1,4.0,2.0,0,2025-12-24,2.0
6.9,73.4,94.0,Quận 12,Hiệp Thành,4.0,1,3.7,1.0,0,2025-12-24,4.0
19.5,121.88,160.0,Quận 6,8,4.0,1,4.1,3.0,0,2025-12-24,4.0
21.5,500.0,43.0,Quận 1,Bến Thành,4.0,1,3.02,4.0,0,2025-12-24,4.0
23.9,62.4,383.0,Quận 12,Thạnh Xuân,2.0,1,8.0,1.0,0,2025-12-24,2.0
31.0,119.23,260.0,Quận 12,Hiệp Thành,55.0,1,10.0,7.5,0,2025-12-24,55.0
4.78,63.73,75.0,Quận 8,5,3.0,1,3.0,2.0,0,2025-12-24,3.0
9.0,140.62,64.0,Quận 10,2,6.0,0,4.0,3.0,1,2025-12-24,6.0
4.8,100.0,48.0,Quận 5,3,3.0,1,4.0,5.0,0,2025-12-24,3.0
3.5,67.31,52.0,Quận 8,2,3.0,1,8.0,5.0,0,2025-12-24,3.0
6.5,52.0,125.0,Quận 12,Thạnh Xuân,6.0,1,5.0,1.0,0,2025-12-24,5.0
5.7,271.43,21.0,Quận 5,1,4.0,1,2.75,3.5,0,2025-12-24,4.0
52.0,393.94,132.0,Thành phố Thủ Đức,Bình An,5.0,1,6.0,1.0,0,2025-12-24,4.0
4.9,163.33,30.0,Quận 5,4,4.0,0,3.0,3.0,1,2025-12-24,4.0
15.5,145.68,106.4,Quận 8,1,5.0,1,3.8,5.0,0,2025-12-24,5.0
4.0,90.91,44.0,Quận 12,Tân Chánh Hiệp,2.0,0,4.0,2.0,1,2025-12-23,2.0
2.6,89.66,29.0,Quận 10,2,2.0,1,2.9,1.5,0,2025-12-23,2.0
10.0,93.46,107.0,Thành phố Thủ Đức,Hiệp Bình Chánh,5.0,0,8.0,3.5,1,2025-12-23,5.0
6.0,150.0,40.0,Quận 5,5,3.0,0,4.0,3.0,1,2025-12-23,3.0
6.0,92.59,64.8,Quận 11,11,4.0,1,3.6,2.0,0,2025-12-23,4.0
10.5,166.67,63.0,Quận 7,Bình Thuận,1.0,1,3.5,1.0,0,2025-12-23,1.0
21.8,201.85,108.0,Quận 7,Tân Phong,6.0,1,6.0,1.0,0,2025-12-23,7.0
72.0,276.92,260.0,Quận 7,Tân Thuận Đông,5.0,1,11.6,5.0,0,2025-12-23,5.0
25.0,137.36,182.0,Quận 7,Bình Thuận,2.0,1,9.5,6.0,0,2025-12-23,2.0
60.0,350.88,171.0,Quận 7,Tân Quy,42.0,1,12.0,6.5,0,2025-12-23,42.0
39.5,434.07,91.0,Quận 7,Tân Phong,10.0,1,5.0,4.5,0,2025-12-23,10.0
90.0,283.02,318.0,Quận 7,Tân Quy,2.0,1,13.0,1.0,0,2025-12-23,2.0
28.5,203.57,140.0,Quận 7,Tân Quy,10.0,1,7.8,5.0,0,2025-12-23,10.0
180.0,184.8,974.0,Quận 7,Tân Hưng,3.0,1,15.0,1.0,0,2025-12-23,3.0
6.5,98.48,66.0,Quận 7,Tân Thuận Đông,10.0,0,12.6,1.0,1,2025-12-23,4.0
25.0,164.47,152.0,Quận 7,Tân Hưng,6.0,1,6.5,1.0,0,2025-12-23,6.0
7.1,78.89,90.0,Quận 12,Tân Thới Nhất,10.0,1,4.5,1.0,0,2025-12-23,10.0
1.7,20.48,83.0,Quận 12,Thạnh Xuân,3.0,1,5.4,1.0,0,2025-12-23,3.0
10.9,155.71,70.0,Quận 3,3,2.0,1,4.7,2.0,0,2025-12-23,2.0
110.0,405.9,271.0,Quận 1,Nguyễn Cư Trinh,6.0,1,8.0,2.0,0,2025-12-23,6.0
5.6,84.85,66.0,Quận 11,4,4.0,1,4.0,1.0,0,2025-12-23,4.0
65.0,257.94,252.0,Thành phố Thủ Đức,Bình An,4.0,1,14.0,1.0,0,2025-12-23,4.0
11.6,105.45,110.0,Quận 8,7,7.0,1,5.0,5.0,0,2025-12-23,7.0
3.01,57.88,52.0,Quận 3,14,2.0,1,4.0,2.0,0,2025-12-23,2.0
3.49,67.12,52.0,Quận 7,Tân Quy,3.0,1,6.0,3.5,0,2025-12-23,3.0
3.4,53.12,64.0,Quận 7,Tân Quy,4.0,1,6.0,3.5,0,2025-12-23,4.0
4.99,103.96,48.0,Quận 10,2,3.0,0,4.0,1.0,1,2025-12-23,3.0
6.0,100.0,60.0,Quận 3,14,4.0,1,8.0,4.5,0,2025-12-23,4.0
8.0,153.85,52.0,Quận 10,2,4.0,1,4.0,4.0,0,2025-12-23,4.0
7.0,103.7,67.5,Quận 10,2,4.0,0,4.5,2.0,1,2025-12-23,4.0
37.95,354.67,107.0,Quận 5,3,30.0,1,6.4,7.0,0,2025-12-23,30.0
16.8,133.33,126.0,Quận 7,Tân Hưng,5.0,1,3.6,4.0,0,2025-12-23,14.0
16.0,213.33,75.0,Quận 7,Tân Hưng,5.0,1,4.0,4.0,0,2025-12-23,5.0
4.9,204.17,24.0,Quận 3,12,2.0,0,3.0,3.0,1,2025-12-23,2.0
3.0,125.0,24.0,Quận 6,3,4.0,1,4.0,3.0,0,2025-12-23,4.0
6.0,45.3,132.44,Quận 8,11,8.0,1,7.7,2.0,0,2025-12-23,8.0
10.0,125.0,80.0,Quận 5,6,5.0,1,4.0,4.0,0,2025-12-23,5.0
6.0,166.67,36.0,Quận 7,Tân Quy,3.0,0,4.0,2.5,1,2025-12-23,3.0
7.35,210.0,35.0,Quận 10,2,3.0,0,3.5,5.0,1,2025-12-22,3.0
